Major,Count of Major
Agricultural Business,74
Agricultural Education,19
Animal Science,93
Anthropology,13
Art,59
Asian Studies,2
Associate of Arts,15
Associate of Science,29
Aviation,35
Aviation Electronics Tech,4
Biological Engineering,11
Biological Sciences,123
Biomedical Engineering,44
Biotechnology,9
Bookkeeping,6
Business,470
Business Mgmt Professional,15
Carpentry,8
Cell Biology and Neuroscience,59
Chemical Engineering,31
Chemistry,47
Civil Engineering,65
CNC Machining/Manufacturing,9
Community Health,6
Computer Engineering,34
Computer Network Technology,4
Computer Science,117
Construction Engineering Tech,34
Culinary Arts,5
Cyber Security/Information,4
Design Drafting Technology,6
Early Childhood Ed P3,5
Earth Sciences,54
Economics,10
Electrical Engineering,50
Elementary Education K-8,48
English,27
Environmental Dsgn Foundations,129
Environmental Engineering,38
Environmental Horticulture,9
Environmental Sciences,81
Film Foundations,49
Financial Engineering,7
Food and Nutrition,10
General Engineering,47
Health and Human Performance,1
Health Enhancement K-12,2
Healthcare Admin Professional,2
"Heating, Vent, AC & Refrig",3
"Heating, Vent, AC, & Refrig",1
History,25
Hospitality Management,10
Human Development & Family Sci,12
Industrial/Management Sys Eng,11
Interior Design,14
IT Cybersecurity,3
IT Network Technology,1
Kinesiology,103
Liberal Studies,21
Mathematics,16
Mechanical Engineering,230
Mechanical Engineering Tech,42
Medical Assistant,6
Microbiology,35
Modern Languages & Literatures,3
Music,5
Music Education,10
Music Technology,18
Nat Resources/Rangeland Ecol,15
Nursing,1
Philosophy,3
Phlebotomy,1
Photography Foundations,17
Photonics and Laser Technology,4
Physics,31
Plant Science,10
Political Science,36
Pre-Business,2
Pre-Medicine,135
Pre-Nursing,235
Pre-University Studies,33
Pre-Veterinary Medicine,40
Psychology,135
Ranching Systems,12
Secondary Education,10
Sociology,54
Sustainable Food and Bioenergy,7
Tech Ed Industrial Tech Option,3
University Studies,372
Welding Technology,7
(blank)
Grand Total,3751
