Curriculum,Animal Science - Science Option,,,,,,,,,
Degree Plan,Animal Science - Science Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,1.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Natural Resource Conservation,NRSM,101,,,,3,,,1
2,Montana Range Plants,NRSM,102,,,,1,,,1
3,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
4,College Chemistry I,CHMY,141,,,,3,,,1
5,College Chemistry I Lab,CHMY,142,,,4,1,,,1
6,Leadership Dev For Agriculture,AGED,140US,,,,3,,,1
7,Introduction to Animal Science,ANSC,100,,,,3,,,2
8,Principles of Living Systems,BIOB,160,,,,4,,,2
9,College Chemistry II,CHMY,143,4,,,3,,,2
10,College Chemistry II Lab,CHMY,144,,,9,1,,,2
11,University Core and Electives,ELEC,,,,,3,,,2
12,Livestock Feeding,ANSC,202,7,,,3,,,3
13,Natural Resource Ecology,NRSM,240,1,,,3,,,3
14,Economic Way of Thinking,ECNS,101IS,,,,3,,,3
15,Survey of Calculus,M,161Q,,,,4,,,3
16,Introduction to Statistics,STAT,216Q,,,,3,,,3
17,Livestock in Sustain Systems,ANSC,222,7,,,3,,,4
18,Anatomy and Physiology of Domestic Animals - Lecture,ANSC,265,8,,,3,,,4
19,Anatomy and Physiology of Domestic Animals - Lab,ANSC,266,8,,18,1,,,4
20,Elements of Organic Chemistry,CHMY,211,9,,,3,,,4
21,Elements of Organic Chemistry Lab,CHMY,212,10,,20,1,,,4
22,Prof Business Communication,BMGT,205,6,,,3,,,4
23,Animal Nutrition,ANSC,320,12;19;20,,,3,,,5
24,Physiology of Animal Reproduction,ANSC,321,7;19;20,,,4,,,5
25,Biochemistry,BCH,380,8;20,,,4,,,5
26,Biochemistry Lab,BCH,381,,,25,1,,,5
27,Restricted Electives,ELEC,,,,,3,,,5
28,Principles of Animal Breeding and Genetics,ANSC,322,7;8;16,,,3,,,6
29,University Core and Electives,ELEC,,,,,3,,,6
30,Restricted Electives,ELEC,,,,,9,,,6
31,University Core and Electives,ELEC,,,,,16,,,7
32,Livestock Management Electives,ELEC,,,,,8,,,8
33,Internship,ANSC,498,12;17,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
