Curriculum,Plant Science - Plant Biology option (Physics),,,,,,,,,
Degree Plan,Plant Science - Plant Biology option  (with Physics option),,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50.0712,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
2,Principles of Living Systems,BIOB,160,,,,4,,,1
3,College Chemistry I ,CHMY,141,,,,3,,,1
4,College Chemistry I Lab,CHMY,142,,,3,1,,,1
5,College Chemistry II,CHMY,143,3,,,3,,,1
6,College Chemistry II Lab,CHMY,144,,,5,1,,,1
7,Introduction to Public Speaking,COMX,111US,,,,3,,,1
8,College Writing I,WRIT,101W,,,,3,,,1
9,Survey of Calculus,M,161Q,,,,4,,,1
10,University Core and Electives,ELEC,,,,,4,,,1
11,General Botany,BIOO,220,1,,,3,,,2
12,Elements of Organic Chemistry,CHMY,211,5,,,4,,,2
13,Elements of Organic Chemistry Lab,CHMY,212,,,12,1,,,2
14,College Physics I,PHSX,205,,,,4,,,2
15,College Physics II,PHSX,207,14,,,4,,,2
16,Biometry,BIOB,318,9,,,3,,,2
17,University Core and Electives,ELEC,,,,,5,,,2
18,General Genetics,BIOB,375,2,,,3,,,3
19,General Ecology,BIOE,370,1;16,,,3,,,3
20,Biochemistry,BCH,380,2;12,,,4,,,3
21,Biochemistry Lab,BCH,381,,,20,1,,,3
22,University Core and Electives,ELEC,,,,,19,,,3
23,Evolution,BIOB,420,18,,,3,,,3
24,Plant Physiology,BIOO,433,2;12,,,3,,,4
25,Undergraduate Research,BIOB,490R,,,,3,,,4
26,University Core and Electives,ELEC,,,,,21,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
