Curriculum,Film and Photography - Photography Option,,,,,,,,,
Degree Plan,Film and Photography - Photography Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50.0712,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Intro to Film & Photography,FILM,100IH,,,,3,,,1
2,Aesthetics of Film Prodctn I,FILM,112,,,,3,,,1
3,Understanding Photography,PHOT,113RA,,,,3,,,1
4,Intermediate Photography,PHOT,213,,,,3,,,1
5,College Writing I,WRIT,101W,,,,3,,,1
6,University Seminar,,,,,,3,,,1
7,Intro to Color Photography,PHOT,255,4,,,4,,,2
8,View Camera,PHOT,258,4,,,4,,,2
9,Film & Photo Studies Courses,ELEC,,,,,9,,,2
10,History of Photography Course,ELEC,,,,,3,,,2
11,Photograph Production,ELEC,,7;8,,,8,,,3
12,SFP ELECTIVE REQUIREMENT,,,,,,12,,,3
13,NON-SFP ELECTIVES REQUIREMENT,,,,,,9,,,4
14,Capstone,PHOT,499,,,,5,,,4
15,University Core (Q),ELEC,,,,,3,,,1
16,University Core (IS),ELEC,,,,,3,,,2
17,University Core (IN),ELEC,,,,,3,,,3
18,University Core (CS),ELEC,,,,,3,,,4
19,General Electives,ELEC,,,,,9,,,1
20,General Electives,ELEC,,,,,9,,,2
21,General Electives,ELEC,,,,,6,,,3
22,General Electives,ELEC,,,,,12,,,4
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
