Curriculum,Business - Marketing Option,,,,,,,,,
Degree Plan,Business - Marketing Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,52.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Business & Entrepreneurship Fundamentals,BGEN,104US,,,,3,,,1
2,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
3,Electives and University Core,ELEC,,,,,9,,,1
4,Principles of Macroeconomics,ECNS,202,2,,,3,,,2
5,Survey of Calculus,M,161Q,,,,4,,,2
6,Electives and University Core,ELEC,,,,,9,,,2
7,Principles of Financial Acct,ACTG,201,4,,,3,,,3
8,Prof Business Communication,BMGT,205,1,,,3,,,3
9,Introduction to Statistics,STAT,216Q,,,,3,,,3
10,Electives and University Core,ELEC,,,,,6,,,3
11,Principles of Managerial Accounting,ACTG,202,7,,,3,,,4
12,Data Analytics I,BMIS,211,4,,,3,,,4
13,Microeconomics,ECNS,204IS,2,,,3,,,4
14,Intermediate Statistical Concepts,STAT,217Q,9,,,3,,,4
15,Electives and University Core,ELEC,,,,,3,,,4
16,Principles of Marketing,BMKT,325,2,,,3,,,5
17,Management and Organization,BMGT,335,,,,3,,,5
18,Management Information Systems,BMIS,311,7;12,,,3,,,5
19,Electives and University Core,ELEC,,,,,6,,,5
20,Operations Management,BMGT,322,5;9;12,,,3,,,6
21,Business Finance,BFIN,322,5;7;13,,,3,,,6
22,Consumer Behavior,BMKT,337,16,,,3,,,6
23,Marketing Research,BMKT,342R,14;16,,,3,,,6
24,Integrated Marketing Communication,BMKT,343,16,,,3,,,6
25,Principles of Business Law,BGEN,361,,,,3,,,7
26,Sales and Sales Management,BMKT,436,16,,,3,,,7
27,Choose BMKT course,BMKT,4xx,16,,,3,,,7
28,Choose BMKT course,BMKT,4xx,16,,,3,,,7
29,Electives and University Core,ELEC,,,,,4,,,7
30,Senior Thesis/Capstone: Strategy Seminar,BGEN,499,16;17;18;20;21;25,,,4,,,8
31,Senior Capstone: Marketing Management,BMKT,499,22;23;24,26,,3,,,8
32,Approved Approved Elective,ELEC,,,,,3,,,8
33,"Business/non-economics and general electives, and University Core",ELEC,,,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
